Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Cost Per Item,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Bag/Case material (product.metafields.shopify.bag-case-material),Battery size (product.metafields.shopify.battery-size),Battery technology (product.metafields.shopify.battery-technology),Battery type (product.metafields.shopify.battery-type),Case type (product.metafields.shopify.case-type),Cleaning surfaces (product.metafields.shopify.cleaning-surfaces),Coil connection (product.metafields.shopify.coil-connection),Color (product.metafields.shopify.color-pattern),Compatible battery technology (product.metafields.shopify.compatible-battery-technology),Connection type (product.metafields.shopify.connection-type),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cookware/Bakeware material (product.metafields.shopify.cookware-bakeware-material),Costume theme (product.metafields.shopify.costume-theme),Dietary preferences (product.metafields.shopify.dietary-preferences),Dispenser type (product.metafields.shopify.dispenser-type),Display technology (product.metafields.shopify.display-technology),Dog age group (product.metafields.shopify.dog-age-group),Dog toy type (product.metafields.shopify.dog-toy-type),Doll/Playset features (product.metafields.shopify.doll-playset-features),Dry/Wet cleaning (product.metafields.shopify.dry-wet-cleaning),E-cigarette/Vaporizer style (product.metafields.shopify.e-cigarette-vaporizer-style),E-liquid flavor (product.metafields.shopify.e-liquid-flavor),Fabric (product.metafields.shopify.fabric),Flavor (product.metafields.shopify.flavor),Hardware material (product.metafields.shopify.hardware-material),Ingredient category (product.metafields.shopify.ingredient-category),Material (product.metafields.shopify.material),Pipe shape (product.metafields.shopify.pipe-shape),Plant support material (product.metafields.shopify.plant-support-material),Power source (product.metafields.shopify.power-source),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Recommended age group (product.metafields.shopify.recommended-age-group),Size (product.metafields.shopify.size),Suitable for breed size (product.metafields.shopify.suitable-for-breed-size),Suitable for food processor type (product.metafields.shopify.suitable-for-food-processor-type),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for power equipment type (product.metafields.shopify.suitable-for-power-equipment-type),Tableware material (product.metafields.shopify.tableware-material),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Tool/Utensil material (product.metafields.shopify.tool-utensil-material),Toy/Game material (product.metafields.shopify.toy-game-material),Travel pillow shape (product.metafields.shopify.travel-pillow-shape),Vaping style (product.metafields.shopify.vaping-style),Variant Image,Variant Weight Unit,Variant Tax Code,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,_Pricing Brand,_Pricing Product Title,_Pixies Recommended Retail,_Market MSRP / Proxy,_Pricing Tier,_Gross Margin $,_Gross Margin %,_Pricing Method,_Price Confidence
daysavers-filter-tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69a0aa18860c21772136984_b17cfaf2-bca5-43c3-abed-cacbc7ebb3cb.jpg?v=1773947854,7,DaySavers Filter Tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
randys-zinspo-vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69b0538fa70c01773163407.jpg?v=1773866766,5,Randy's Zinspo Vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carta-swivel-silicone-accessory-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/6942fbde8c5d61765997534.jpg?v=1773866471,2,Carta Swivel & Silicone Accessory Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartisan-high-beam-vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69a9c0668cf421772732518.jpg?v=1773866175,12,Cartisan High-Beam Vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigfun-blinksy-vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69b46a71e01791773431409.jpg?v=1773865937,10,BIGFUN! Blinksy Vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puffco-proxy-core-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69b963f902e4c1773757433.jpg?v=1773781868,5,Puffco Proxy Core Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puffco-proxy-core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69b96382863d31773757314.jpg?v=1773781571,4,Puffco Proxy Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puffco-new-hot-knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69b95c4c8378e1773755468.jpg?v=1773781278,7,Puffco New Hot Knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
softglass-core-water-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69a088424197a1772128322.jpg?v=1773769942,7,Softglass Core Water Pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
human-grade-directional-5-carb-cap,,,,,,,,,Lake Green,,,,,,,,HG-CC-DRCTL5-3PK-LKGRN,86.1825503,shopify,deny,manual,20.99,7.5,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/LakeGreen_ac603595-70ae-4203-93a7-d56b01441280.jpg?v=1773765979,8,Human Grade Directional 5 Carb Cap - Lake Green,,,,,,,,,,,,Lake Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/LakeGreen_ac603595-70ae-4203-93a7-d56b01441280.jpg?v=1773765979,lb,,,,,,,,,,,,,,,,,
human-grade-gavel-bottom-bangers,,,,,,,,,Standard 90 - 14mm,,,,,,,,HG-BNGRS-ST90-GVL-14MM,86.1825503,shopify,deny,manual,16.99,6,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/Standard90-14mm_97da9ccc-7621-401a-b7c0-1ff3f8f51db2.jpg?v=1773765550,4,Human Grade Gravel Bottom Bangers - Standard 90 - 14mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/Standard90-14mm_97da9ccc-7621-401a-b7c0-1ff3f8f51db2.jpg?v=1773765550,lb,,,,,,,,,,,,,,,,,
softglass-core-bubbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69a08a7d0e49e1772128893.jpg?v=1773681784,10,Softglass Core Bubbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
softglass-core-hand-pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69a089c7271b41772128711.jpg?v=1773169280,7,Softglass Core Hand Pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mj-arsenal-tempest-puffco-peak-top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69a703fa361c61772553210.jpg?v=1773154186,4,MJ Arsenal Tempest Puffco Peak Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mj-arsenal-lumina-flower-bowl-14mm,MJ Arsenal Lumina Flower Bowl 14mm,"<p><strong>MJ Arsenal Lumina Bowl</strong></p>
<ul>
<li>
<strong>Compatible with: </strong>MJ Arsenal Lumina Bubbler</li>
<li>
<strong>Joint Size: </strong>14mm</li>
<li>
<strong>Material: </strong>Borosilicate</li>
</ul>",MJ Arsenal,Home & Garden > Smoking Accessories,Glass Bowl,"Glass, Glass Bowl, MJ Arsenal, Pixies Clinical Registry, Precision Hardware, Adult Use 21+, Hydrated Filtration Device",TRUE,Title,Default Title,,,,,,,,MJA-BWL-AR-LMNA-CLR,86.1825503,shopify,deny,manual,18.99,7,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/6931c6926f3351764869778.jpg?v=1773153828,1,MJ Arsenal Lumina Flower Bowl 14mm,FALSE,MJ Arsenal Lumina Flower Bowl 14mm | Pixie's Pantry,MJ Arsenal Lumina Bowl Compatible with: MJ Arsenal Lumina Bubbler Joint Size: 14mm Material: Borosilicate,Adults,,,,,,,,clear,,,,,,,,,,,,,,,,,Borosilicate glass,,glass,Bubbler,,,,,Adults,,,,,,,,,,,,,,lb,,TRUE,,,TRUE,,,active,,,,,,,,,
pax-four-replacement-parts,,,,,,,,,Flat Mouthpiece (2),,,,,,,,PAX-RP-4REPRTS-MPFLT-ONX-2PK,68.0388555,shopify,deny,manual,24.99,9,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/MouthpieceFlat.jpg?v=1772571338,3,Pax Four Replacement Parts - Flat Mouthpiece (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/MouthpieceFlat.jpg?v=1772571338,lb,,,,,,,,,,,,,,,,,
pax-four-vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/698e2d56da8091770925398.jpg?v=1772570951,8,Pax Four Vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwtn-home-xl-deco-bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/Orchid_0e91ba39-13d8-4694-ada9-685b879deab4.jpg?v=1772035624,8,NWTN Home XL Deco Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigfun-high-lighter-vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/696e647af08941768842362.jpg?v=1771702981,9,BIGFUN! High-Lighter Vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cartisan-cohiba-vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/698dfc78ebc801770912888.jpg?v=1771702730,5,Cartisan Cohiba Vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
randys-inspo-max-vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/69655a77874b31768249975.jpg?v=1771702387,5,Randy's Inspo MAX Vaporizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puffco-peak-pro-link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/698b60c54d0d81770741957.jpg?v=1770753422,9,Puffco Peak Pro Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
