SKU,Product Name,Wholesale Cost,Image URL,Category,Brand,Your Online Price,SEO Title,Meta Description,Search Tags
WP974,Pulsar CORE 10” Premium Filtration System,17.5,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/pulsar-core-beaker-water-pipe-update.webp,Filtration Devices,Pulsar,$34.99,Pulsar CORE 10” Premium Filtration System | Premium Quality,"Premium Filtration Devices from Pulsar. Designed for smooth, effortless sessions.","filtration devices, pulsar, premium, durable, easy to clean"
WP975,Pulsar CORE 9” Portable Filtration Device,16.5,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/pulsar-core-straight-tube-water-pipe-update.webp,Filtration Devices,Pulsar,$32.99,Pulsar CORE 9” Portable Filtration Device | Premium Quality,"Premium Filtration Devices from Pulsar. Designed for smooth, effortless sessions.","filtration devices, pulsar, premium, durable, easy to clean"
WP976,Pulsar CORE 6” Precision Extraction System,15.95,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/pulsar-core-dab-rig-update.webp,Extraction Systems,Pulsar,$31.89,Pulsar CORE 6” Precision Extraction System | Premium Quality,"Premium Extraction Systems from Pulsar. Designed for smooth, effortless sessions.","extraction systems, pulsar, premium, durable, easy to clean"
V1218D,SeshGear Ray Gun Precision Power Supply,56.75,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/seshgear-ray-gun-510-vape-battery-lead-updated.webp,Power Supplies,SeshGear,$102.14,SeshGear Ray Gun Precision Power Supply | Premium Quality,"Premium Power Supplies from SeshGear. Designed for smooth, effortless sessions.","power supplies, seshgear, premium, durable, easy to clean"
WP953,SeshGear 11.75” Premium Filtration System,29.99,https://cdn.shopify.com/s/files/1/0568/2780/5886/files/seshgear-spinner-beaker-bong-1.png,Filtration Devices,SeshGear,$59.97,SeshGear 11.75” Premium Filtration System | Premium Quality,"Premium Filtration Devices from SeshGear. Designed for smooth, effortless sessions.","filtration devices, seshgear, premium, durable, easy to clean"
