Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Cost Per Item,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Bag/Case material (product.metafields.shopify.bag-case-material),Battery size (product.metafields.shopify.battery-size),Battery technology (product.metafields.shopify.battery-technology),Battery type (product.metafields.shopify.battery-type),Case type (product.metafields.shopify.case-type),Cleaning surfaces (product.metafields.shopify.cleaning-surfaces),Coil connection (product.metafields.shopify.coil-connection),Color (product.metafields.shopify.color-pattern),Compatible battery technology (product.metafields.shopify.compatible-battery-technology),Connection type (product.metafields.shopify.connection-type),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cookware/Bakeware material (product.metafields.shopify.cookware-bakeware-material),Costume theme (product.metafields.shopify.costume-theme),Dietary preferences (product.metafields.shopify.dietary-preferences),Dispenser type (product.metafields.shopify.dispenser-type),Display technology (product.metafields.shopify.display-technology),Dog age group (product.metafields.shopify.dog-age-group),Dog toy type (product.metafields.shopify.dog-toy-type),Doll/Playset features (product.metafields.shopify.doll-playset-features),Dry/Wet cleaning (product.metafields.shopify.dry-wet-cleaning),E-cigarette/Vaporizer style (product.metafields.shopify.e-cigarette-vaporizer-style),E-liquid flavor (product.metafields.shopify.e-liquid-flavor),Fabric (product.metafields.shopify.fabric),Flavor (product.metafields.shopify.flavor),Hardware material (product.metafields.shopify.hardware-material),Ingredient category (product.metafields.shopify.ingredient-category),Material (product.metafields.shopify.material),Pipe shape (product.metafields.shopify.pipe-shape),Plant support material (product.metafields.shopify.plant-support-material),Power source (product.metafields.shopify.power-source),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Recommended age group (product.metafields.shopify.recommended-age-group),Size (product.metafields.shopify.size),Suitable for breed size (product.metafields.shopify.suitable-for-breed-size),Suitable for food processor type (product.metafields.shopify.suitable-for-food-processor-type),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for power equipment type (product.metafields.shopify.suitable-for-power-equipment-type),Tableware material (product.metafields.shopify.tableware-material),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Tool/Utensil material (product.metafields.shopify.tool-utensil-material),Toy/Game material (product.metafields.shopify.toy-game-material),Travel pillow shape (product.metafields.shopify.travel-pillow-shape),Vaping style (product.metafields.shopify.vaping-style),Variant Image,Variant Weight Unit,Variant Tax Code,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,_Pricing Brand,_Pricing Product Title,_Pixies Recommended Retail,_Market MSRP / Proxy,_Pricing Tier,_Gross Margin $,_Gross Margin %,_Pricing Method,_Price Confidence
switch-2-glass-attachment,Switch 2 Glass Attachment,"<p><strong>Compatible with: </strong>Dr Dabber Switch 2</p>
<ul>
<li>
<strong>Pack Size: </strong>One (1) Glass Attachment for Dr. Dabber Switch 2</li>
</ul>
<p><i><strong>This product and all products on this site are intended and sold for legal purposes only.</strong></i><br> </p>",Dr Dabber,Uncategorized,Glass Attachment,"Dr Dabber, Glass Attachment, Switch 2, Pixies Clinical Registry, Precision Hardware, Adult Use 21+, Thermal Extraction Device",TRUE,Title,Default Title,,,,,,,,DRDBR-RGL-CLR,226.796185,shopify,deny,manual,90.99,45,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/f89OE1fFI004RTBrCnZXSz7AP7BIyCCUCoXjNj9g.jpg?v=1729867553,1,Switch 2 Glass Attachment,FALSE,Switch 2 Glass Attachment | Pixie's Pantry,Compatible with: Dr Dabber Switch 2 Pack Size: One (1) Glass Attachment for Dr. Dabber Switch 2 This product and all products on this site are intended and sold for legal purposes only.,Adults,,,,,,,,,,,,,,,,,,,,,,,,,Glass,,Glass,,,,,,Adults,,,,,,,,,,,,,,lb,,TRUE,,,TRUE,,,active,,,,,,,,,
puffco-new-peak-pro-with-3d-xl-chamber,,,,,,,,,daybreak,,,,,,,,PUFFCO-WCV-NEWPKPRO-DYBRK,771.107029,shopify,deny,manual,512.99,320,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/Daybreak.jpg?v=1750773078,4,Puffco New Peak Pro with 3D XL Chamber - daybreak,,,,,,,,,,,,daybreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/Daybreak.jpg?v=1750773078,lb,,,,,,,,,,,,,,,,,
puffco-peak-pro-glass-2-0,Puffco Peak Pro Glass 2.0,"<p data-v-7d080a53="""" class=""flex items-center text-base text-theme-secondary font-medium"">Product Information</p>
<div data-v-7d080a53="""" data-headlessui-state=""open"" id=""headlessui-disclosure-panel-412"">
<div data-v-7d080a53="""" class=""prod-text prose max-w-none font-light text-brand-primary px-6 pb-6"">
<p data-v-7d080a53=""""> </p>
<p><b>Compatible with:<span> </span></b><a href=""https://medusadistribution.com/products/peak-pro"">Puffco Peak Pro</a>,<span> </span><a href=""https://medusadistribution.com/products/new-peak-pro"">Puffco New Peak Pro</a><br><br>The Peak Pro 2.0 glass attachment is a hand-blown borosilicate work of art. </p>
<ul>
<li>
<strong>Retail Unit:<span> </span></strong>One (1) Peak Pro Glass 2.0</li>
<li>Five (5) laser etched percs</li>
<li>Higher water capacity</li>
<li>Interion Cone Design</li>
</ul>
<p><em><strong>** This brand requires that all warranty claims be handled with them directly. Please see this<span> </span><a href=""https://www.puffco.com/pages/warranty-policy"" target=""_blank"">help article</a> for more information. **</strong></em></p>
<p> </p>
</div>
</div>",Puffco,Hardware > Building Materials > Glass,Glass,"Glass, Puffco, Pixies Clinical Registry, Precision Hardware, Adult Use 21+, Thermal Extraction Device",TRUE,Title,Default Title,,,,,,,,PFCO-RG-PKPR20-CLR,226.796185,shopify,deny,manual,132.99,66,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/iq4DaAZjkymehocAaI0lRmh6C7cXDGj5BDIi2QEj.png?v=1704925396,1,Puffco Peak Pro Glass 2.0,FALSE,Puffco Peak Pro Glass 2.0 | Pixie's Pantry,"Product Information Compatible with: Puffco Peak Pro , Puffco New Peak Pro The Peak Pro 2.0 glass attachment is a hand-blown borosilicate work of art. Retail Unit: One (1) Peak Pro Glass 2.0 Five (5) laser etched percs Higher water capacity Interion Cone Design ** This brand requires that all warranty claims be handle…",Adults,,,,,,,,,,,,,,,,,,,,,,,,,"Borosilicate glass, Glass",,"Borosilicate glass, Glass",,,,,,Adults,,,,,,,,,,,,,,lb,,TRUE,,,TRUE,,,active,,,,,,,,,
storz-bickel-volcano-classic,,,,,,,,,Iridescent Green - LE,,,,,,,,SNB-HWV-VOL-CLA-EVRGRN25ANLE,2585.476509,shopify,deny,manual,606.99,379,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/ARGxM4JgvxN5KiACtU5zurjTLUaZapzCxxuqe1kB.jpg?v=1746714371,3,Storz & Bickel Volcano Classic - Iridescent Green - LE,,,,,,,,,,,,Iridescent Green - LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/files/ARGxM4JgvxN5KiACtU5zurjTLUaZapzCxxuqe1kB.jpg?v=1746714371,lb,,,,,,,,,,,,,,,,,
chillum,,,,,,,,,Onyx,,,,,,,,MJA-HP-CHLUM-BLK,85.04856938,shopify,deny,manual,16.99,5,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/products/Onyx_3efe2d69-1585-4a6f-be9d-c93f320e25b0.png?v=1704305299,9,MJ Arsenal Chillum - Onyx,,,,,,,,,,,,Onyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/8816/0727/products/Onyx_3efe2d69-1585-4a6f-be9d-c93f320e25b0.png?v=1704305299,oz,,,,,,,,,,,,,,,,,
